[INFO] [launch]: All log files can be found below /home/robosub/.ros/log/2025-08-16-04-39-21-222965-ubuntu-4376
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [mavros_node-1]: process started with pid [4378]
[INFO] [dvl_node-2]: process started with pid [4380]
[INFO] [dvl_mavros_bridge-3]: process started with pid [4382]
[mavros_node-1] [INFO] [1755337161.382468048] [mavros_node]: Starting mavros_node container
[mavros_node-1] [INFO] [1755337161.382709006] [mavros_node]: FCU URL: serial:///dev/ttyTHS1:57600
[mavros_node-1] [INFO] [1755337161.382740005] [mavros_node]: GCS URL: 
[mavros_node-1] [INFO] [1755337161.382752866] [mavros_node]: UAS Prefix: /uas1
[mavros_node-1] [INFO] [1755337161.382761823] [mavros_node]: Starting mavros router node
[mavros_node-1] [INFO] [1755337161.390489851] [mavros_router]: Built-in SIMD instructions: ARM NEON
[mavros_node-1] [INFO] [1755337161.390577859] [mavros_router]: Built-in MAVLink package version: 2025.6.6
[mavros_node-1] [INFO] [1755337161.390599293] [mavros_router]: Known MAVLink dialects: common ardupilotmega ASLUAV AVSSUAS all csAirLink cubepilot development icarous loweheiser matrixpilot paparazzi standard storm32 uAvionix ualberta
[mavros_node-1] [INFO] [1755337161.390613369] [mavros_router]: MAVROS Router started
[mavros_node-1] [INFO] [1755337161.390673096] [mavros_router]: Requested to add endpoint: type: 0, url: serial:///dev/ttyTHS1:57600
[mavros_node-1] [INFO] [1755337161.390718300] [mavros_router]: Endpoint link[1000] created
[mavros_node-1] [INFO] [1755337161.393868317] [mavros_router]: link[1000] opened successfully
[mavros_node-1] [INFO] [1755337161.394619824] [mavros_router]: Requested to add endpoint: type: 2, url: /uas1
[mavros_node-1] [INFO] [1755337161.395155389] [mavros_router]: Endpoint link[1001] created
[mavros_node-1] [INFO] [1755337161.398900859] [mavros_router]: link[1001] opened successfully
[mavros_node-1] [INFO] [1755337161.399898314] [mavros_node]: Starting mavros uas node
[mavros_node-1] [INFO] [1755337161.402155360] [mavros_router]: link[1000] detected remote address 1.1
[mavros_node-1] [INFO] [1755337161.454340429] [mavros]: UAS Executor started, threads: 6
[mavros_node-1] [INFO] [1755337161.479315573] [mavros]: Plugin actuator_control created
[mavros_node-1] [INFO] [1755337161.479455599] [mavros]: Plugin actuator_control initialized
[mavros_node-1] [INFO] [1755337161.511303037] [mavros]: Plugin adsb created
[mavros_node-1] [INFO] [1755337161.511432346] [mavros]: Plugin adsb initialized
[mavros_node-1] [INFO] [1755337161.516689274] [mavros]: Plugin altitude created
[mavros_node-1] [INFO] [1755337161.516805114] [mavros]: Plugin altitude initialized
[mavros_node-1] [INFO] [1755337161.522262052] [mavros]: Plugin cam_imu_sync created
[mavros_node-1] [INFO] [1755337161.522365319] [mavros]: Plugin cam_imu_sync initialized
[mavros_node-1] [INFO] [1755337161.528132572] [mavros]: Plugin camera created
[mavros_node-1] [INFO] [1755337161.528251771] [mavros]: Plugin camera initialized
[mavros_node-1] [INFO] [1755337161.534242099] [mavros]: Plugin cellular_status created
[mavros_node-1] [INFO] [1755337161.534362898] [mavros]: Plugin cellular_status initialized
[mavros_node-1] [INFO] [1755337161.545569653] [mavros]: Plugin command created
[mavros_node-1] [INFO] [1755337161.545708015] [mavros]: Plugin command initialized
[mavros_node-1] [INFO] [1755337161.552484175] [mavros]: Plugin companion_process_status created
[mavros_node-1] [INFO] [1755337161.552589682] [mavros]: Plugin companion_process_status initialized
[mavros_node-1] [INFO] [1755337161.561249391] [mavros]: Plugin debug_value created
[mavros_node-1] [INFO] [1755337161.561399430] [mavros]: Plugin debug_value initialized
[mavros_node-1] [INFO] [1755337161.568532036] [mavros.distance_sensor]: DS: Plugin not configured!
[mavros_node-1] [INFO] [1755337161.568729198] [mavros]: Plugin distance_sensor created
[mavros_node-1] [INFO] [1755337161.568798107] [mavros]: Plugin distance_sensor initialized
[mavros_node-1] [INFO] [1755337161.577781855] [mavros]: Plugin esc_status created
[mavros_node-1] [INFO] [1755337161.577920537] [mavros]: Plugin esc_status initialized
[mavros_node-1] [INFO] [1755337161.586347093] [mavros]: Plugin esc_telemetry created
[mavros_node-1] [INFO] [1755337161.586473875] [mavros]: Plugin esc_telemetry initialized
[mavros_node-1] [INFO] [1755337161.596619864] [mavros]: Plugin fake_gps created
[mavros_node-1] [INFO] [1755337161.596736152] [mavros]: Plugin fake_gps initialized
[mavros_node-1] [INFO] [1755337161.613489772] [mavros]: Plugin ftp created
[mavros_node-1] [INFO] [1755337161.613617161] [mavros]: Plugin ftp initialized
[mavros_node-1] [INFO] [1755337161.626119465] [mavros]: Plugin geofence created
[mavros_node-1] [INFO] [1755337161.627406825] [mavros]: Plugin geofence initialized
[mavros_node-1] [INFO] [1755337161.647071008] [mavros]: Plugin gimbal_control created
[mavros_node-1] [INFO] [1755337161.648396501] [mavros]: Plugin gimbal_control initialized
[mavros_node-1] [INFO] [1755337161.674577331] [mavros]: Plugin global_position created
[mavros_node-1] [INFO] [1755337161.677340446] [mavros]: Plugin global_position initialized
[mavros_node-1] [INFO] [1755337161.697079456] [mavros]: Plugin gps_input created
[mavros_node-1] [INFO] [1755337161.699429085] [mavros]: Plugin gps_input initialized
[mavros_node-1] [INFO] [1755337161.720473338] [mavros]: Plugin gps_rtk created
[mavros_node-1] [INFO] [1755337161.722961200] [mavros]: Plugin gps_rtk initialized
[mavros_node-1] [INFO] [1755337161.747779460] [mavros]: Plugin gps_status created
[mavros_node-1] [INFO] [1755337161.749096731] [mavros]: Plugin gps_status initialized
[mavros_node-1] [INFO] [1755337161.764025283] [mavros]: Plugin guided_target created
[mavros_node-1] [INFO] [1755337161.764171483] [mavros]: Plugin guided_target initialized
[mavros_node-1] [INFO] [1755337161.781018389] [mavros]: Plugin hil created
[mavros_node-1] [INFO] [1755337161.781183080] [mavros]: Plugin hil initialized
[mavros_node-1] [INFO] [1755337161.794989283] [mavros]: Plugin home_position created
[mavros_node-1] [INFO] [1755337161.795112321] [mavros]: Plugin home_position initialized
[mavros_node-1] [INFO] [1755337161.813957784] [mavros]: Plugin imu created
[mavros_node-1] [INFO] [1755337161.814107151] [mavros]: Plugin imu initialized
[mavros_node-1] [INFO] [1755337161.831840919] [mavros]: Plugin landing_target created
[mavros_node-1] [INFO] [1755337161.832012552] [mavros]: Plugin landing_target initialized
[mavros_node-1] [INFO] [1755337161.853763299] [mavros]: Plugin local_position created
[mavros_node-1] [INFO] [1755337161.853905500] [mavros]: Plugin local_position initialized
[mavros_node-1] [INFO] [1755337161.900030373] [mavros]: Plugin log_transfer created
[mavros_node-1] [INFO] [1755337161.902814922] [mavros]: Plugin log_transfer initialized
[mavros_node-1] [INFO] [1755337161.923721197] [mavros]: Plugin mag_calibration_status created
[mavros_node-1] [INFO] [1755337161.923852105] [mavros]: Plugin mag_calibration_status initialized
[mavros_node-1] [INFO] [1755337161.949470401] [mavros]: Plugin manual_control created
[mavros_node-1] [INFO] [1755337161.949670026] [mavros]: Plugin manual_control initialized
[mavros_node-1] [INFO] [1755337161.968987968] [mavros]: Plugin mocap_pose_estimate created
[mavros_node-1] [INFO] [1755337161.970351243] [mavros]: Plugin mocap_pose_estimate initialized
[mavros_node-1] [INFO] [1755337161.994456545] [mavros]: Plugin mount_control created
